Stress	Position	Phoneme	TransitionTo	TransitionalPropbability	TransitionalPredictability	JointPosition	JointTransition	PhonemeOccurences	TransitionToOccurences
Ante_Stress	Onset	ɡ	ʊ	0,0795029215654265	0,881158739693412	Ante_Stress-Onset	ɡ-ʊ	2890	269
Ante_Stress	Onset	ɡ	e̞	0,0744400204884876	0,825044832879604	Ante_Stress-Onset	ɡ-e̞	2890	269
Ante_Stress	Onset	ɡ	l	0,0740111038458355	0,820290999425045	Ante_Stress-Onset	ɡ-l	2890	159
Ante_Stress	Onset	ɡ	ʉ	0,0730808713920888	0,809980907161445	Ante_Stress-Onset	ɡ-ʉ	2890	137
Ante_Stress	Onset	ɡ	ʉ̞	0,06902331511809	0,765009589098755	Ante_Stress-Onset	ɡ-ʉ̞	2890	65
Ante_Stress	Onset	ɡ	ɔ	0,0573809006861574	0,635972630131307	Ante_Stress-Onset	ɡ-ɔ	2890	68
Ante_Stress	Onset	ɡ	ɵ	0,0544247182262839	0,603208224001877	Ante_Stress-Onset	ɡ-ɵ	2890	65
Ante_Stress	Onset	ɡ	e	0,0518632928556873	0,574819049026511	Ante_Stress-Onset	ɡ-e	2890	26
Ante_Stress	Onset	ɡ	ʏ	0,0373678695109834	0,414161192506982	Ante_Stress-Onset	ɡ-ʏ	2890	4
Ante_Stress	Onset	ɡ	o	0,0364860105363286	0,404387240463538	Ante_Stress-Onset	ɡ-o	2890	15
Ante_Stress	Onset	ɡ	n	0,0243293344782962	0,26965053968278	Ante_Stress-Onset	ɡ-n	2890	3
Ante_Stress	Onset	ɡ	ɑ	0,0175076877657696	0,194043838677498	Ante_Stress-Onset	ɡ-ɑ	2890	2
Ante_Stress	Onset	ɡ	i	0,013082124851098	0,144993774056705	Ante_Stress-Onset	ɡ-i	2890	2
Ante_Stress	Onset	h	a	0,0765473091888115	1	Ante_Stress-Onset	h-a	2119	436
Ante_Stress	Onset	h	ɪ	0,0660689105576632	0,863112123179898	Ante_Stress-Onset	h-ɪ	2119	218
Ante_Stress	Onset	h	e̞	0,0659572564850576	0,861653494865084	Ante_Stress-Onset	h-e̞	2119	310
Ante_Stress	Onset	h	ʉ	0,0657724417170183	0,859239108650888	Ante_Stress-Onset	h-ʉ	2119	77
Ante_Stress	Onset	h	ʊ	0,0655545671614234	0,856392835438885	Ante_Stress-Onset	h-ʊ	2119	172
Ante_Stress	Onset	h	ʉ̞	0,0628607908710662	0,821201836318163	Ante_Stress-Onset	h-ʉ̞	2119	46
Ante_Stress	Onset	h	ɛ̝	0,0608869779952713	0,795416307124363	Ante_Stress-Onset	h-ɛ̝	2119	46
Ante_Stress	Onset	h	ɛ	0,0602783894216669	0,78746581768125	Ante_Stress-Onset	h-ɛ	2119	20
Ante_Stress	Onset	h	ʏ	0,0585115393730576	0,76438401288193	Ante_Stress-Onset	h-ʏ	2119	183
Ante_Stress	Onset	h	ɔ	0,0571959509664671	0,747197407362649	Ante_Stress-Onset	h-ɔ	2119	169
Ante_Stress	Onset	h	u	0,0541979288359398	0,708031796418281	Ante_Stress-Onset	h-u	2119	32
Ante_Stress	Onset	h	ɵ	0,0500330344666908	0,653622380680676	Ante_Stress-Onset	h-ɵ	2119	275
Ante_Stress	Onset	h	o	0,0496671629304516	0,648842702072552	Ante_Stress-Onset	h-o	2119	36
Ante_Stress	Onset	h	ø	0,0453897592099027	0,592963484816224	Ante_Stress-Onset	h-ø	2119	13
Ante_Stress	Onset	h	e	0,0452067939059315	0,590573259661218	Ante_Stress-Onset	h-e	2119	30
Ante_Stress	Onset	h	y	0,0416389748977188	0,543963926870534	Ante_Stress-Onset	h-y	2119	15
Ante_Stress	Onset	h	ɑ	0,0365271277604062	0,477183693946816	Ante_Stress-Onset	h-ɑ	2119	28
Ante_Stress	Onset	h	ø̞	0,0254985602064098	0,333108511280456	Ante_Stress-Onset	h-ø̞	2119	10
Ante_Stress	Onset	h	e͡ʉ	0,0122065240490459	0,159463790150184	Ante_Stress-Onset	h-e͡ʉ	2119	3
Ante_Stress	Onset	ɧ	ʊ	0,105360822026056	1	Ante_Stress-Onset	ɧ-ʊ	1689	890
Ante_Stress	Onset	ɧ	e̞	0,093562234846626	0,888017320361145	Ante_Stress-Onset	ɧ-e̞	1689	246
Ante_Stress	Onset	ɧ	a	0,0925931473245988	0,87881952270361	Ante_Stress-Onset	ɧ-a	1689	289
Ante_Stress	Onset	ɧ	ɪ	0,0754931797748402	0,716520413595201	Ante_Stress-Onset	ɧ-ɪ	1689	83
Ante_Stress	Onset	ɧ	ʉ̞	0,0737986403361601	0,700437211071771	Ante_Stress-Onset	ɧ-ʉ̞	1689	23
Ante_Stress	Onset	ɧ	ɔ	0,0733177306675712	0,695872804119157	Ante_Stress-Onset	ɧ-ɔ	1689	27
Ante_Stress	Onset	ɧ	ɵ	0,0684976855485989	0,650124820890815	Ante_Stress-Onset	ɧ-ɵ	1689	37
Ante_Stress	Onset	ɧ	ø̞	0,0680410067574355	0,645790393896211	Ante_Stress-Onset	ɧ-ø̞	1689	19
Ante_Stress	Onset	ɧ	ʏ	0,0601503060498536	0,570898222823073	Ante_Stress-Onset	ɧ-ʏ	1689	4
Ante_Stress	Onset	ɧ	i	0,0551611162914766	0,523544855011049	Ante_Stress-Onset	ɧ-i	1689	5
Ante_Stress	Onset	ɧ	ø	0,0499799308123472	0,474369218569564	Ante_Stress-Onset	ɧ-ø	1689	14
Ante_Stress	Onset	ɧ	ɛ̝	0,0484085783030624	0,459455207089128	Ante_Stress-Onset	ɧ-ɛ̝	1689	9
Ante_Stress	Onset	ɧ	ʉ	0,0477239458034097	0,452957227228232	Ante_Stress-Onset	ɧ-ʉ	1689	30
Ante_Stress	Onset	ɧ	u	0,0454457565715632	0,431334491300041	Ante_Stress-Onset	ɧ-u	1689	6
Ante_Stress	Onset	ɧ	ɛ	0,0424659188864002	0,403052273793936	Ante_Stress-Onset	ɧ-ɛ	1689	6
Ante_Stress	Onset	ʝ	e̞	0,0769769334607248	1	Ante_Stress-Onset	ʝ-e̞	1904	569
Ante_Stress	Onset	ʝ	ʊ	0,0684837582908921	0,889665971506048	Ante_Stress-Onset	ʝ-ʊ	1904	157
Ante_Stress	Onset	ʝ	ø̞	0,06701334973453	0,870564034208008	Ante_Stress-Onset	ʝ-ø̞	1904	38
Ante_Stress	Onset	ʝ	a	0,0665642830786569	0,864730252116621	Ante_Stress-Onset	ʝ-a	1904	169
Ante_Stress	Onset	ʝ	ʉ	0,0616819855254036	0,801304790309359	Ante_Stress-Onset	ʝ-ʉ	1904	260
Ante_Stress	Onset	ʝ	ɪ	0,0615100866812043	0,799071668821258	Ante_Stress-Onset	ʝ-ɪ	1904	177
Ante_Stress	Onset	ʝ	ʏ	0,0597400142817122	0,776076827121111	Ante_Stress-Onset	ʝ-ʏ	1904	180
Ante_Stress	Onset	ʝ	ɑ	0,0594176805222161	0,771889419997905	Ante_Stress-Onset	ʝ-ɑ	1904	30
Ante_Stress	Onset	ʝ	ø	0,0542182879522563	0,704344607075308	Ante_Stress-Onset	ʝ-ø	1904	34
Ante_Stress	Onset	ʝ	ʉ̞	0,0537362989061975	0,698083133353381	Ante_Stress-Onset	ʝ-ʉ̞	1904	11
Ante_Stress	Onset	ʝ	ɵ	0,0523957654551308	0,680668391159856	Ante_Stress-Onset	ʝ-ɵ	1904	84
Ante_Stress	Onset	ʝ	e	0,0500347019062787	0,649996039811166	Ante_Stress-Onset	ʝ-e	1904	77
Ante_Stress	Onset	ʝ	ɔ	0,0489518132904254	0,635928337095965	Ante_Stress-Onset	ʝ-ɔ	1904	45
Ante_Stress	Onset	ʝ	ɛ	0,0450529704526009	0,585278841688178	Ante_Stress-Onset	ʝ-ɛ	1904	14
Ante_Stress	Onset	ʝ	ɛ̝	0,0416780554092797	0,541435642282954	Ante_Stress-Onset	ʝ-ɛ̝	1904	33
Ante_Stress	Onset	ʝ	u	0,0375044073476186	0,487216178425114	Ante_Stress-Onset	ʝ-u	1904	9
Ante_Stress	Onset	ʝ	i	0,0352356932034835	0,457743529384182	Ante_Stress-Onset	ʝ-i	1904	11
Ante_Stress	Onset	ʝ	o	0,0322026261713644	0,418341244884675	Ante_Stress-Onset	ʝ-o	1904	2
Ante_Stress	Onset	ʝ	y	0,0276012883300241	0,35856570389501	Ante_Stress-Onset	ʝ-y	1904	4
Ante_Stress	Onset	k	ɔ	0,079294951127062	1	Ante_Stress-Onset	k-ɔ	11725	3822
Ante_Stress	Onset	k	a	0,0754849422470328	0,951951431637507	Ante_Stress-Onset	k-a	11725	3150
Ante_Stress	Onset	k	ʊ	0,0708701432125987	0,893753539226433	Ante_Stress-Onset	k-ʊ	11725	1049
Ante_Stress	Onset	k	ʉ	0,0684605968747883	0,863366404817972	Ante_Stress-Onset	k-ʉ	11725	673
Ante_Stress	Onset	k	r	0,0667697868945344	0,842043357685443	Ante_Stress-Onset	k-r	11725	790
Ante_Stress	Onset	k	l	0,0615188785347404	0,775823399350644	Ante_Stress-Onset	k-l	11725	466
Ante_Stress	Onset	k	ɵ	0,0606169707887071	0,764449311426836	Ante_Stress-Onset	k-ɵ	11725	579
